No,Component Name,HTML Pattern,CSS Classes,Props,Use Case,Category,Code Example,Docs URL,Priority
1,wd-button,<view class='button'>,btn button primary-btn,"{""type"":""primary"",""size"":""large"",""block"":false,""disabled"":false,""loading"":false}",主要操作按钮,button,"<wd-button type=""primary"" size=""large"">提交</wd-button>",https://wot-design-uni.cn/component/button.html,1
2,wd-input,<view class='input'>,input input-field text-input,"{""v-model"":"""",""placeholder"":"""",""clearable"":true,""disabled"":false,""readonly"":false}",文本输入框,form,"<wd-input v-model=""value"" placeholder=""请输入"" clearable />",https://wot-design-uni.cn/component/input.html,1
3,wd-cell,<view class='cell'>,cell cell-item list-item,"{""title"":"""",""value"":"""",""is-link"":false,""center"":false}",列表项单元格,layout,"<wd-cell title=""标题"" value=""内容"" is-link />",https://wot-design-uni.cn/component/cell.html,1
4,wd-form,<view class='form'>,form form-container,"{""model"":{},""rules"":{}}",表单容器,form,"<wd-form :model=""formData"" :rules=""rules""><wd-form-item /></wd-form>",https://wot-design-uni.cn/component/form.html,1
5,wd-form-item,<view class='form-item'>,form-item,"{""label"":"""",""prop"":"""",""required"":false}",表单项,form,"<wd-form-item label=""用户名"" prop=""username""><wd-input /></wd-form-item>",https://wot-design-uni.cn/component/form.html,1
6,wd-checkbox,<view class='checkbox'>,checkbox,"{""v-model"":false,""disabled"":false}",复选框,form,"<wd-checkbox v-model=""checked"">同意协议</wd-checkbox>",https://wot-design-uni.cn/component/checkbox.html,1
7,wd-radio,<view class='radio'>,radio,"{""v-model"":"""",""disabled"":false}",单选框,form,"<wd-radio v-model=""value"" value=""1"">选项1</wd-radio>",https://wot-design-uni.cn/component/radio.html,1
8,wd-switch,<view class='switch'>,switch toggle,"{""v-model"":false,""disabled"":false}",开关,form,"<wd-switch v-model=""enabled"" />",https://wot-design-uni.cn/component/switch.html,1
9,wd-textarea,<view class='textarea'>,textarea,"{""v-model"":"""",""placeholder"":"""",""maxlength"":0,""show-word-limit"":false}",多行文本输入,form,"<wd-textarea v-model=""content"" placeholder=""请输入"" />",https://wot-design-uni.cn/component/textarea.html,1
10,wd-select,<view class='select'>,select dropdown,"{""v-model"":"""",""placeholder"":"""",""disabled"":false}",选择器,form,"<wd-select v-model=""value"" :columns=""options"" />",https://wot-design-uni.cn/component/select.html,1
